Nombre,Cuenta,Categoría
      1-1-05-0000 - Otras Cuentas por Cobrar,,
,1-1-05-0001 - Préstamos al personal,Activo Corriente > Otros Créditos
,1-1-05-0002 - Anticipo a Proveedores,Activo Corriente > Otros Créditos
   1-2-00-0000 - Activo No Corriente,,
      1-2-01-0000 - Bienes Intangibles,,
,1-2-01-0009 - Licencias de Software,Activo No Corriente > Activos Intangibles
,1-2-01-0010 - Horas de Desarrollo a Activables,Activo No Corriente > Activos Intangibles
,1-2-01-0011 - AA Licencias de Software,Activo No Corriente > Activos Intangibles
,1-2-01-0012 - Jakue I BCR - Muvin,Activo No Corriente > Activos Intangibles
      1-2-02-0000 - Bienes de Uso,,
,1-2-01-0002 - Equipos de computación y Telefonía,Activo No Corriente > Bienes de Uso
,1-2-01-0005 - Amort Acum Muebles y utiles,Activo No Corriente > Bienes de Uso
,1-2-01-0006 - AA Equipos de computación y Telefonía,Activo No Corriente > Bienes de Uso
,1-2-01-0007 - Rodados,Activo No Corriente > Bienes de Uso
,1-2-01-0008 - AA Rodados,Activo No Corriente > Bienes de Uso
,1-2-02-0001 - Muebles y Utiles,Activo No Corriente > Bienes de Uso
2-0-00-0000 - Pasivo,,
   2-1-00-0000 - Pasivo Corriente,,
      Previsiones,,
      Cuentas Aporte,,
,2-1-06-0001 - Socio Cta Aporte,Pasivo Corriente > Deudas Societarias
      2-1-01-0000 - Deudas Comerciales,,
,2-1-01-0002 - Cheques Diferidos a Pagar,Pasivo Corriente > Deudas Comerciales
,2-1-01-0003 - Tarjetas de Credito a Pagar,Pasivo Corriente > Deudas Comerciales
,2-1-01-0001 - Proveedores,Pasivo Corriente > Deudas Comerciales
         Cheques Diferidos Emitidos,,
,Cheques Diferidos,Pasivo Corriente > Deudas Comerciales > Cheques Diferidos Emitidos
      2-1-02-0000 - Deudas Bancarias,,
,2-1-02-0001 - Prestamos Bancarios a Pagar,Pasivo Corriente > Deudas Bancarias
,2-1-02-0002 - Intereses Financieros a Devengar,Pasivo Corriente > Deudas Bancarias
,2-1-02-0003 - Préstamos Prendarios a Pagar,Pasivo Corriente > Deudas Bancarias
